NAICS_TITLE,OCC_TITLE,TOT_EMP,A_MEAN,year
General Medical and Surgical Hospitals,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",220,26270,2018-05-01
General Medical and Surgical Hospitals,Transportation Security Screeners,NA,41650,2018-05-01
General Medical and Surgical Hospitals,"Protective Service Workers, All Other",160,37350,2018-05-01
General Medical and Surgical Hospitals,Food Preparation and Serving Related Occupations,102030,30600,2018-05-01
General Medical and Surgical Hospitals,Supervisors of Food Preparation and Serving Workers,7420,46140,2018-05-01
General Medical and Surgical Hospitals,Chefs and Head Cooks,1160,54720,2018-05-01
General Medical and Surgical Hospitals,First-Line Supervisors of Food Preparation and Serving Workers,6270,44560,2018-05-01
General Medical and Surgical Hospitals,Cooks and Food Preparation Workers,37110,31710,2018-05-01
General Medical and Surgical Hospitals,Cooks,25290,32340,2018-05-01
General Medical and Surgical Hospitals,"Cooks, Fast Food",40,26840,2018-05-01
General Medical and Surgical Hospitals,"Cooks, Institution and Cafeteria",24940,32350,2018-05-01
General Medical and Surgical Hospitals,"Cooks, Restaurant",60,31640,2018-05-01
General Medical and Surgical Hospitals,"Cooks, Short Order",230,32700,2018-05-01
General Medical and Surgical Hospitals,Food Preparation Workers,11820,30360,2018-05-01
General Medical and Surgical Hospitals,Food and Beverage Serving Workers,51820,27900,2018-05-01
General Medical and Surgical Hospitals,Fast Food and Counter Workers,16780,27110,2018-05-01
General Medical and Surgical Hospitals,"Combined Food Preparation and Serving Workers, Including Fast Food",13550,26870,2018-05-01
General Medical and Surgical Hospitals,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",3220,28110,2018-05-01
General Medical and Surgical Hospitals,Waiters and Waitresses,200,28920,2018-05-01
General Medical and Surgical Hospitals,"Food Servers, Nonrestaurant",34840,28270,2018-05-01
General Medical and Surgical Hospitals,Other Food Preparation and Serving Related Workers,5670,27700,2018-05-01
General Medical and Surgical Hospitals,Dining Room and Cafeteria Attendants and Bartender Helpers,1400,27030,2018-05-01
General Medical and Surgical Hospitals,Dishwashers,1920,28180,2018-05-01
General Medical and Surgical Hospitals,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1500,26910,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Food Preparation and Serving Related Workers,850,29140,2018-05-01
General Medical and Surgical Hospitals,"Food Preparation and Serving Related Workers, All Other",850,29140,2018-05-01
General Medical and Surgical Hospitals,Building and Grounds Cleaning and Maintenance Occupations,147140,30090,2018-05-01
General Medical and Surgical Hospitals,Supervisors of Building and Grounds Cleaning and Maintenance Workers,5760,47530,2018-05-01
General Medical and Surgical Hospitals,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,5760,47530,2018-05-01
General Medical and Surgical Hospitals,First-Line Supervisors of Housekeeping and Janitorial Workers,5600,47310,2018-05-01
General Medical and Surgical Hospitals,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",160,55430,2018-05-01
General Medical and Surgical Hospitals,Building Cleaning and Pest Control Workers,139470,29300,2018-05-01
General Medical and Surgical Hospitals,Building Cleaning Workers,139420,29300,2018-05-01
General Medical and Surgical Hospitals,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",54910,29490,2018-05-01
General Medical and Surgical Hospitals,Maids and Housekeeping Cleaners,84310,29170,2018-05-01
General Medical and Surgical Hospitals,"Building Cleaning Workers, All Other",210,31260,2018-05-01
General Medical and Surgical Hospitals,Pest Control Workers,NA,38650,2018-05-01
General Medical and Surgical Hospitals,Grounds Maintenance Workers,1910,35020,2018-05-01
General Medical and Surgical Hospitals,Landscaping and Groundskeeping Workers,1870,34910,2018-05-01
General Medical and Surgical Hospitals,Personal Care and Service Occupations,20930,33430,2018-05-01
General Medical and Surgical Hospitals,Supervisors of Personal Care and Service Workers,660,53550,2018-05-01
General Medical and Surgical Hospitals,First-Line Supervisors of Personal Service Workers,660,53550,2018-05-01
General Medical and Surgical Hospitals,Animal Care and Service Workers,80,33840,2018-05-01
General Medical and Surgical Hospitals,Nonfarm Animal Caretakers,80,33840,2018-05-01
General Medical and Surgical Hospitals,Entertainment Attendants and Related Workers,240,23840,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Entertainment Attendants and Related Workers,220,22980,2018-05-01
General Medical and Surgical Hospitals,Amusement and Recreation Attendants,170,23270,2018-05-01
General Medical and Surgical Hospitals,"Locker Room, Coatroom, and Dressing Room Attendants",50,22060,2018-05-01
General Medical and Surgical Hospitals,Personal Appearance Workers,220,41570,2018-05-01
General Medical and Surgical Hospitals,"Barbers, Hairdressers, Hairstylists and Cosmetologists",80,36730,2018-05-01
General Medical and Surgical Hospitals,"Hairdressers, Hairstylists, and Cosmetologists",80,36620,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Personal Appearance Workers,140,44240,2018-05-01
General Medical and Surgical Hospitals,Manicurists and Pedicurists,30,29550,2018-05-01
General Medical and Surgical Hospitals,Skincare Specialists,110,48330,2018-05-01
General Medical and Surgical Hospitals,"Baggage Porters, Bellhops, and Concierges",950,35200,2018-05-01
General Medical and Surgical Hospitals,Baggage Porters and Bellhops,50,24220,2018-05-01
General Medical and Surgical Hospitals,Concierges,910,35780,2018-05-01
General Medical and Surgical Hospitals,Other Personal Care and Service Workers,18730,32660,2018-05-01
General Medical and Surgical Hospitals,Childcare Workers,3280,28460,2018-05-01
General Medical and Surgical Hospitals,Personal Care Aides,7770,30260,2018-05-01
General Medical and Surgical Hospitals,Recreation and Fitness Workers,6560,37770,2018-05-01
General Medical and Surgical Hospitals,Fitness Trainers and Aerobics Instructors,4160,41520,2018-05-01
General Medical and Surgical Hospitals,Recreation Workers,2400,31270,2018-05-01
General Medical and Surgical Hospitals,Residential Advisors,270,31190,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Personal Care and Service Workers,850,31830,2018-05-01
General Medical and Surgical Hospitals,"Personal Care and Service Workers, All Other",850,31830,2018-05-01
General Medical and Surgical Hospitals,Sales and Related Occupations,9640,35670,2018-05-01
General Medical and Surgical Hospitals,Supervisors of Sales Workers,950,52820,2018-05-01
General Medical and Surgical Hospitals,First-Line Supervisors of Sales Workers,950,52820,2018-05-01
General Medical and Surgical Hospitals,First-Line Supervisors of Retail Sales Workers,910,51650,2018-05-01
General Medical and Surgical Hospitals,First-Line Supervisors of Non-Retail Sales Workers,40,78090,2018-05-01
General Medical and Surgical Hospitals,Retail Sales Workers,7360,29460,2018-05-01
General Medical and Surgical Hospitals,Cashiers,5940,29580,2018-05-01
General Medical and Surgical Hospitals,Retail Salespersons,1410,28920,2018-05-01
General Medical and Surgical Hospitals,"Sales Representatives, Services",1050,57480,2018-05-01
General Medical and Surgical Hospitals,Insurance Sales Agents,310,50230,2018-05-01
General Medical and Surgical Hospitals,"Miscellaneous Sales Representatives, Services",730,60520,2018-05-01
General Medical and Surgical Hospitals,"Sales Representatives, Services, All Other",730,60520,2018-05-01
General Medical and Surgical Hospitals,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",40,80330,2018-05-01
General Medical and Surgical Hospitals,Other Sales and Related Workers,130,55850,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Sales and Related Workers,100,46710,2018-05-01
General Medical and Surgical Hospitals,"Sales and Related Workers, All Other",100,46710,2018-05-01
General Medical and Surgical Hospitals,Office and Administrative Support Occupations,569640,39640,2018-05-01
General Medical and Surgical Hospitals,Supervisors of Office and Administrative Support Workers,37300,64320,2018-05-01
General Medical and Surgical Hospitals,First-Line Supervisors of Office and Administrative Support Workers,37300,64320,2018-05-01
General Medical and Surgical Hospitals,Communications Equipment Operators,13950,32330,2018-05-01
General Medical and Surgical Hospitals,"Switchboard Operators, Including Answering Service",12730,31860,2018-05-01
General Medical and Surgical Hospitals,Telephone Operators,1100,37170,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Communications Equipment Operators,130,37650,2018-05-01
General Medical and Surgical Hospitals,"Communications Equipment Operators, All Other",130,37650,2018-05-01
General Medical and Surgical Hospitals,Financial Clerks,59300,40440,2018-05-01
General Medical and Surgical Hospitals,Bill and Account Collectors,6610,38840,2018-05-01
General Medical and Surgical Hospitals,Billing and Posting Clerks,31640,39540,2018-05-01
General Medical and Surgical Hospitals,"Bookkeeping, Accounting, and Auditing Clerks",15420,42270,2018-05-01
General Medical and Surgical Hospitals,Payroll and Timekeeping Clerks,2540,46650,2018-05-01
General Medical and Surgical Hospitals,Procurement Clerks,2530,38700,2018-05-01
General Medical and Surgical Hospitals,Tellers,50,33040,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Financial Clerks,510,40350,2018-05-01
General Medical and Surgical Hospitals,"Financial Clerks, All Other",510,40350,2018-05-01
General Medical and Surgical Hospitals,Information and Record Clerks,164710,35650,2018-05-01
General Medical and Surgical Hospitals,Brokerage Clerks,40,41960,2018-05-01
General Medical and Surgical Hospitals,Correspondence Clerks,370,38740,2018-05-01
General Medical and Surgical Hospitals,"Credit Authorizers, Checkers, and Clerks",450,40660,2018-05-01
General Medical and Surgical Hospitals,Customer Service Representatives,52000,36390,2018-05-01
General Medical and Surgical Hospitals,"Eligibility Interviewers, Government Programs",710,45140,2018-05-01
General Medical and Surgical Hospitals,File Clerks,5620,33250,2018-05-01
General Medical and Surgical Hospitals,"Hotel, Motel, and Resort Desk Clerks",40,32610,2018-05-01
General Medical and Surgical Hospitals,"Interviewers, Except Eligibility and Loan",59960,35960,2018-05-01
General Medical and Surgical Hospitals,"Library Assistants, Clerical",150,33950,2018-05-01
General Medical and Surgical Hospitals,Order Clerks,230,33360,2018-05-01
General Medical and Surgical Hospitals,"Human Resources Assistants, Except Payroll and Timekeeping",4130,42490,2018-05-01
General Medical and Surgical Hospitals,Receptionists and Information Clerks,36100,32810,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Information and Record Clerks,4900,39980,2018-05-01
General Medical and Surgical Hospitals,"Information and Record Clerks, All Other",4900,39980,2018-05-01
General Medical and Surgical Hospitals,"Material Recording, Scheduling, Dispatching, and Distributing Workers",39940,35690,2018-05-01
General Medical and Surgical Hospitals,Couriers and Messengers,4920,30290,2018-05-01
General Medical and Surgical Hospitals,Dispatchers,3120,37800,2018-05-01
General Medical and Surgical Hospitals,"Police, Fire, and Ambulance Dispatchers",1600,38720,2018-05-01
General Medical and Surgical Hospitals,"Dispatchers, Except Police, Fire, and Ambulance",1530,36840,2018-05-01
General Medical and Surgical Hospitals,"Production, Planning, and Expediting Clerks",7160,42540,2018-05-01
General Medical and Surgical Hospitals,"Shipping, Receiving, and Traffic Clerks",2900,35460,2018-05-01
General Medical and Surgical Hospitals,Stock Clerks and Order Fillers,21710,34390,2018-05-01
General Medical and Surgical Hospitals,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",130,36030,2018-05-01
General Medical and Surgical Hospitals,Secretaries and Administrative Assistants,191630,40190,2018-05-01
General Medical and Surgical Hospitals,Executive Secretaries and Executive Administrative Assistants,18190,57510,2018-05-01
General Medical and Surgical Hospitals,Legal Secretaries,100,52840,2018-05-01
General Medical and Surgical Hospitals,Medical Secretaries,127610,37560,2018-05-01
General Medical and Surgical Hospitals,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",45730,40600,2018-05-01
General Medical and Surgical Hospitals,Other Office and Administrative Support Workers,62810,37140,2018-05-01
General Medical and Surgical Hospitals,Computer Operators,730,45580,2018-05-01
General Medical and Surgical Hospitals,Data Entry and Information Processing Workers,2620,37260,2018-05-01
General Medical and Surgical Hospitals,Data Entry Keyers,2170,36270,2018-05-01
General Medical and Surgical Hospitals,Word Processors and Typists,450,42040,2018-05-01
General Medical and Surgical Hospitals,Desktop Publishers,30,52200,2018-05-01
General Medical and Surgical Hospitals,Insurance Claims and Policy Processing Clerks,2350,38910,2018-05-01
General Medical and Surgical Hospitals,"Mail Clerks and Mail Machine Operators, Except Postal Service",1010,33110,2018-05-01
General Medical and Surgical Hospitals,"Office Clerks, General",49050,36110,2018-05-01
General Medical and Surgical Hospitals,"Office Machine Operators, Except Computer",1040,34040,2018-05-01
General Medical and Surgical Hospitals,Proofreaders and Copy Markers,30,47980,2018-05-01
General Medical and Surgical Hospitals,Statistical Assistants,730,47250,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Office and Administrative Support Workers,5220,44560,2018-05-01
General Medical and Surgical Hospitals,"Office and Administrative Support Workers, All Other",5220,44560,2018-05-01
General Medical and Surgical Hospitals,"Farming, Fishing, and Forestry Occupations",NA,33100,2018-05-01
General Medical and Surgical Hospitals,Agricultural Workers,NA,33100,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Agricultural Workers,NA,33100,2018-05-01
General Medical and Surgical Hospitals,"Farmworkers, Farm, Ranch, and Aquacultural Animals",NA,33260,2018-05-01
General Medical and Surgical Hospitals,Construction and Extraction Occupations,9450,58260,2018-05-01
General Medical and Surgical Hospitals,Supervisors of Construction and Extraction Workers,410,78190,2018-05-01
General Medical and Surgical Hospitals,First-Line Supervisors of Construction Trades and Extraction Workers,410,78190,2018-05-01
General Medical and Surgical Hospitals,Construction Trades Workers,8830,57700,2018-05-01
General Medical and Surgical Hospitals,Boilermakers,NA,61790,2018-05-01
General Medical and Surgical Hospitals,Carpenters,2060,56730,2018-05-01
General Medical and Surgical Hospitals,Construction Laborers,100,54710,2018-05-01
General Medical and Surgical Hospitals,Electricians,2810,62700,2018-05-01
General Medical and Surgical Hospitals,Painters and Paperhangers,2010,49500,2018-05-01
General Medical and Surgical Hospitals,"Painters, Construction and Maintenance",2010,49500,2018-05-01
General Medical and Surgical Hospitals,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",1640,60670,2018-05-01
General Medical and Surgical Hospitals,"Plumbers, Pipefitters, and Steamfitters",1640,60670,2018-05-01
General Medical and Surgical Hospitals,Plasterers and Stucco Masons,50,61560,2018-05-01
General Medical and Surgical Hospitals,"Helpers, Construction Trades",50,41340,2018-05-01
General Medical and Surgical Hospitals,Other Construction and Related Workers,150,42660,2018-05-01
General Medical and Surgical Hospitals,Hazardous Materials Removal Workers,110,36970,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Construction and Related Workers,40,58760,2018-05-01
General Medical and Surgical Hospitals,"Installation, Maintenance, and Repair Occupations",39870,51640,2018-05-01
General Medical and Surgical Hospitals,"Supervisors of Installation, Maintenance, and Repair Workers",3630,71690,2018-05-01
General Medical and Surgical Hospitals,"First-Line Supervisors of Mechanics, Installers, and Repairers",3630,71690,2018-05-01
General Medical and Surgical Hospitals,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",620,56520,2018-05-01
General Medical and Surgical Hospitals,"Computer, Automated Teller, and Office Machine Repairers",70,43860,2018-05-01
General Medical and Surgical Hospitals,Radio and Telecommunications Equipment Installers and Repairers,330,58270,2018-05-01
General Medical and Surgical Hospitals,"Telecommunications Equipment Installers and Repairers, Except Line Installers",320,58010,2018-05-01
General Medical and Surgical Hospitals,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",230,57600,2018-05-01
General Medical and Surgical Hospitals,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",140,56080,2018-05-01
General Medical and Surgical Hospitals,Security and Fire Alarm Systems Installers,80,60530,2018-05-01
General Medical and Surgical Hospitals,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",340,51380,2018-05-01
General Medical and Surgical Hospitals,Aircraft Mechanics and Service Technicians,50,69480,2018-05-01
General Medical and Surgical Hospitals,Automotive Technicians and Repairers,240,49110,2018-05-01
General Medical and Surgical Hospitals,Automotive Service Technicians and Mechanics,240,49110,2018-05-01
General Medical and Surgical Hospitals,Bus and Truck Mechanics and Diesel Engine Specialists,50,45890,2018-05-01
General Medical and Surgical Hospitals,"Other Installation, Maintenance, and Repair Occupations",35280,49490,2018-05-01
General Medical and Surgical Hospitals,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",3000,58760,2018-05-01
General Medical and Surgical Hospitals,"Industrial Machinery Installation, Repair, and Maintenance Workers",340,50920,2018-05-01
General Medical and Surgical Hospitals,Industrial Machinery Mechanics,200,51530,2018-05-01
General Medical and Surgical Hospitals,"Maintenance Workers, Machinery",130,49370,2018-05-01
General Medical and Surgical Hospitals,Line Installers and Repairers,50,55380,2018-05-01
General Medical and Surgical Hospitals,Telecommunications Line Installers and Repairers,40,55530,2018-05-01
General Medical and Surgical Hospitals,Precision Instrument and Equipment Repairers,6080,57850,2018-05-01
General Medical and Surgical Hospitals,Camera and Photographic Equipment Repairers,50,49250,2018-05-01
General Medical and Surgical Hospitals,Medical Equipment Repairers,6020,57930,2018-05-01
General Medical and Surgical Hospitals,"Maintenance and Repair Workers, General",25220,46430,2018-05-01
General Medical and Surgical Hospitals,"Miscellaneous Installation, Maintenance, and Repair Workers",580,46040,2018-05-01
General Medical and Surgical Hospitals,"Coin, Vending, and Amusement Machine Servicers and Repairers",40,28560,2018-05-01
General Medical and Surgical Hospitals,Locksmiths and Safe Repairers,240,55400,2018-05-01
General Medical and Surgical Hospitals,"Helpers--Installation, Maintenance, and Repair Workers",200,37160,2018-05-01
General Medical and Surgical Hospitals,"Installation, Maintenance, and Repair Workers, All Other",100,48150,2018-05-01
General Medical and Surgical Hospitals,Production Occupations,12440,45010,2018-05-01
General Medical and Surgical Hospitals,Supervisors of Production Workers,550,64020,2018-05-01
General Medical and Surgical Hospitals,First-Line Supervisors of Production and Operating Workers,550,64020,2018-05-01
General Medical and Surgical Hospitals,Food Processing Workers,210,32890,2018-05-01
General Medical and Surgical Hospitals,Bakers,200,33080,2018-05-01
General Medical and Surgical Hospitals,Metal Workers and Plastic Workers,NA,51100,2018-05-01
General Medical and Surgical Hospitals,Machinists,NA,51290,2018-05-01
General Medical and Surgical Hospitals,Printing Workers,240,40700,2018-05-01
General Medical and Surgical Hospitals,Prepress Technicians and Workers,NA,40040,2018-05-01
General Medical and Surgical Hospitals,Printing Press Operators,190,40970,2018-05-01
General Medical and Surgical Hospitals,"Textile, Apparel, and Furnishings Workers",6040,28900,2018-05-01
General Medical and Surgical Hospitals,Laundry and Dry-Cleaning Workers,6000,28870,2018-05-01
General Medical and Surgical Hospitals,Plant and System Operators,4510,65480,2018-05-01
General Medical and Surgical Hospitals,"Power Plant Operators, Distributors, and Dispatchers",360,61980,2018-05-01
General Medical and Surgical Hospitals,Power Plant Operators,350,63180,2018-05-01
General Medical and Surgical Hospitals,Stationary Engineers and Boiler Operators,4070,65940,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Plant and System Operators,60,56940,2018-05-01
General Medical and Surgical Hospitals,"Plant and System Operators, All Other",60,56940,2018-05-01
General Medical and Surgical Hospitals,Other Production Occupations,790,41710,2018-05-01
General Medical and Surgical Hospitals,"Inspectors, Testers, Sorters, Samplers, and Weighers",130,40620,2018-05-01
General Medical and Surgical Hospitals,"Medical, Dental, and Ophthalmic Laboratory Technicians",590,42190,2018-05-01
General Medical and Surgical Hospitals,Medical Appliance Technicians,560,41960,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Production Workers,40,36960,2018-05-01
General Medical and Surgical Hospitals,"Production Workers, All Other",30,38750,2018-05-01
General Medical and Surgical Hospitals,Transportation and Material Moving Occupations,10410,33930,2018-05-01
General Medical and Surgical Hospitals,Supervisors of Transportation and Material Moving Workers,590,56450,2018-05-01
General Medical and Surgical Hospitals,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",590,56450,2018-05-01
General Medical and Surgical Hospitals,Air Transportation Workers,160,88350,2018-05-01
General Medical and Surgical Hospitals,Aircraft Pilots and Flight Engineers,160,87990,2018-05-01
General Medical and Surgical Hospitals,Commercial Pilots,150,88180,2018-05-01
General Medical and Surgical Hospitals,Motor Vehicle Operators,5010,31990,2018-05-01
General Medical and Surgical Hospitals,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",1110,29370,2018-05-01
General Medical and Surgical Hospitals,Bus Drivers,230,31990,2018-05-01
General Medical and Surgical Hospitals,"Bus Drivers, Transit and Intercity",60,31110,2018-05-01
General Medical and Surgical Hospitals,"Bus Drivers, School or Special Client",170,32320,2018-05-01
General Medical and Surgical Hospitals,Driver/Sales Workers and Truck Drivers,870,36300,2018-05-01
General Medical and Surgical Hospitals,Heavy and Tractor-Trailer Truck Drivers,110,41520,2018-05-01
General Medical and Surgical Hospitals,Light Truck or Delivery Services Drivers,750,35550,2018-05-01
General Medical and Surgical Hospitals,Taxi Drivers and Chauffeurs,2630,31250,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Motor Vehicle Operators,180,38150,2018-05-01
General Medical and Surgical Hospitals,"Motor Vehicle Operators, All Other",180,38150,2018-05-01
General Medical and Surgical Hospitals,Other Transportation Workers,1830,27580,2018-05-01
General Medical and Surgical Hospitals,Parking Lot Attendants,1760,27510,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Transportation Workers,60,28630,2018-05-01
General Medical and Surgical Hospitals,"Transportation Workers, All Other",60,28630,2018-05-01
General Medical and Surgical Hospitals,Material Moving Workers,2830,33820,2018-05-01
General Medical and Surgical Hospitals,Industrial Truck and Tractor Operators,60,NA,2018-05-01
General Medical and Surgical Hospitals,"Laborers and Material Movers, Hand",2680,33510,2018-05-01
General Medical and Surgical Hospitals,Cleaners of Vehicles and Equipment,60,31900,2018-05-01
General Medical and Surgical Hospitals,"Laborers and Freight, Stock, and Material Movers, Hand",2600,33600,2018-05-01
General Medical and Surgical Hospitals,Refuse and Recyclable Material Collectors,60,38950,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Material Moving Workers,30,NA,2018-05-01
General Medical and Surgical Hospitals,"Material Moving Workers, All Other",30,NA,2018-05-01
Specialty (except Psychiatric and Substance Abuse) Hospitals,"Special Education Teachers, Secondary School",NA,56560,2018-05-01
Specialty (except Psychiatric and Substance Abuse) Hospitals,"Special Education Teachers, All Other",30,57270,2018-05-01
General Medical and Surgical Hospitals,Industry Total,4642330,64560,2017-05-01
General Medical and Surgical Hospitals,Management Occupations,160890,123980,2017-05-01
General Medical and Surgical Hospitals,Top Executives,12010,172530,2017-05-01
General Medical and Surgical Hospitals,Chief Executives,3360,238010,2017-05-01
General Medical and Surgical Hospitals,General and Operations Managers,8650,147130,2017-05-01
General Medical and Surgical Hospitals,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",3850,130630,2017-05-01
General Medical and Surgical Hospitals,Advertising and Promotions Managers,40,99490,2017-05-01
General Medical and Surgical Hospitals,Marketing and Sales Managers,1810,131340,2017-05-01
General Medical and Surgical Hospitals,Marketing Managers,1680,131430,2017-05-01
General Medical and Surgical Hospitals,Sales Managers,130,130150,2017-05-01
General Medical and Surgical Hospitals,Public Relations and Fundraising Managers,2010,130540,2017-05-01
General Medical and Surgical Hospitals,Operations Specialties Managers,30170,124260,2017-05-01
General Medical and Surgical Hospitals,Administrative Services Managers,10670,108640,2017-05-01
General Medical and Surgical Hospitals,Computer and Information Systems Managers,5380,135240,2017-05-01
General Medical and Surgical Hospitals,Financial Managers,6950,144880,2017-05-01
General Medical and Surgical Hospitals,Industrial Production Managers,290,105450,2017-05-01
General Medical and Surgical Hospitals,Purchasing Managers,1110,108790,2017-05-01
General Medical and Surgical Hospitals,"Transportation, Storage, and Distribution Managers",420,101670,2017-05-01
General Medical and Surgical Hospitals,Compensation and Benefits Managers,530,123520,2017-05-01
General Medical and Surgical Hospitals,Human Resources Managers,3530,123510,2017-05-01
General Medical and Surgical Hospitals,Training and Development Managers,1300,123570,2017-05-01
General Medical and Surgical Hospitals,Other Management Occupations,114860,118610,2017-05-01
General Medical and Surgical Hospitals,Construction Managers,510,115850,2017-05-01
General Medical and Surgical Hospitals,Education Administrators,1040,118560,2017-05-01
General Medical and Surgical Hospitals,"Education Administrators, Preschool and Childcare Center/Program",130,63550,2017-05-01
General Medical and Surgical Hospitals,"Education Administrators, Postsecondary",340,129470,2017-05-01
General Medical and Surgical Hospitals,"Education Administrators, All Other",570,124680,2017-05-01
General Medical and Surgical Hospitals,Architectural and Engineering Managers,170,128640,2017-05-01
General Medical and Surgical Hospitals,Food Service Managers,1400,80190,2017-05-01
General Medical and Surgical Hospitals,Lodging Managers,90,85940,2017-05-01
General Medical and Surgical Hospitals,Medical and Health Services Managers,98050,121120,2017-05-01
General Medical and Surgical Hospitals,Natural Sciences Managers,1130,98150,2017-05-01
General Medical and Surgical Hospitals,"Property, Real Estate, and Community Association Managers",210,110590,2017-05-01
General Medical and Surgical Hospitals,Social and Community Service Managers,2650,88240,2017-05-01
General Medical and Surgical Hospitals,Emergency Management Directors,600,89780,2017-05-01
General Medical and Surgical Hospitals,Miscellaneous Managers,9000,111140,2017-05-01
General Medical and Surgical Hospitals,"Managers, All Other",9000,111140,2017-05-01
General Medical and Surgical Hospitals,Business and Financial Operations Occupations,95350,66900,2017-05-01
General Medical and Surgical Hospitals,Business Operations Specialists,72130,66910,2017-05-01
General Medical and Surgical Hospitals,Buyers and Purchasing Agents,7080,55950,2017-05-01
General Medical and Surgical Hospitals,"Claims Adjusters, Appraisers, Examiners, and Investigators",230,60660,2017-05-01
General Medical and Surgical Hospitals,"Claims Adjusters, Examiners, and Investigators",230,60660,2017-05-01
General Medical and Surgical Hospitals,Compliance Officers,5080,71800,2017-05-01
General Medical and Surgical Hospitals,Cost Estimators,90,74630,2017-05-01
General Medical and Surgical Hospitals,Human Resources Workers,14600,61930,2017-05-01
General Medical and Surgical Hospitals,Human Resources Specialists,14110,61470,2017-05-01
General Medical and Surgical Hospitals,Labor Relations Specialists,490,75270,2017-05-01
General Medical and Surgical Hospitals,Logisticians,670,67810,2017-05-01
General Medical and Surgical Hospitals,Management Analysts,6780,80630,2017-05-01
General Medical and Surgical Hospitals,"Meeting, Convention, and Event Planners",610,57570,2017-05-01
General Medical and Surgical Hospitals,Fundraisers,2120,66320,2017-05-01
General Medical and Surgical Hospitals,"Compensation, Benefits, and Job Analysis Specialists",2430,65810,2017-05-01
General Medical and Surgical Hospitals,Training and Development Specialists,8640,69310,2017-05-01
General Medical and Surgical Hospitals,Market Research Analysts and Marketing Specialists,3410,66570,2017-05-01
General Medical and Surgical Hospitals,Miscellaneous Business Operations Specialists,20390,68010,2017-05-01
General Medical and Surgical Hospitals,"Business Operations Specialists, All Other",20390,68010,2017-05-01
General Medical and Surgical Hospitals,Financial Specialists,23220,66870,2017-05-01
General Medical and Surgical Hospitals,Accountants and Auditors,11990,69360,2017-05-01
General Medical and Surgical Hospitals,Budget Analysts,1100,72390,2017-05-01
General Medical and Surgical Hospitals,Credit Analysts,80,66230,2017-05-01
General Medical and Surgical Hospitals,Financial Analysts and Advisors,4580,71740,2017-05-01
General Medical and Surgical Hospitals,Financial Analysts,4270,73250,2017-05-01
General Medical and Surgical Hospitals,Personal Financial Advisors,300,49840,2017-05-01
General Medical and Surgical Hospitals,Financial Examiners,60,63890,2017-05-01
General Medical and Surgical Hospitals,Credit Counselors and Loan Officers,2430,44610,2017-05-01
General Medical and Surgical Hospitals,Credit Counselors,2410,44600,2017-05-01
General Medical and Surgical Hospitals,Miscellaneous Financial Specialists,2980,65520,2017-05-01
General Medical and Surgical Hospitals,"Financial Specialists, All Other",2980,65520,2017-05-01
General Medical and Surgical Hospitals,Computer and Mathematical Occupations,61280,75990,2017-05-01
General Medical and Surgical Hospitals,Computer Occupations,56310,75940,2017-05-01
General Medical and Surgical Hospitals,Computer and Information Analysts,17550,82740,2017-05-01
General Medical and Surgical Hospitals,Computer Systems Analysts,16000,82430,2017-05-01
General Medical and Surgical Hospitals,Information Security Analysts,1550,85910,2017-05-01
General Medical and Surgical Hospitals,Software Developers and Programmers,9070,86260,2017-05-01
General Medical and Surgical Hospitals,Computer Programmers,1680,81990,2017-05-01
