NAICS_TITLE,OCC_TITLE,emp2018,salary2018,emp2013,salary2013,emp2008,salary2008,emp2003,salary2003
General Medical and Surgical Hospitals,Diagnostic Related Technologists and Technicians,211520,65830,190390,60290,NA,NA,NA,NA
General Medical and Surgical Hospitals,Cardiovascular Technologists and Technicians,38710,58480,34460,53830,NA,NA,NA,NA
General Medical and Surgical Hospitals,Diagnostic Medical Sonographers,37300,74200,29880,67730,NA,NA,NA,NA
General Medical and Surgical Hospitals,Nuclear Medicine Technologists,12060,78860,11900,71830,NA,NA,NA,NA
General Medical and Surgical Hospitals,Radiologic Technologists,103290,62890,98220,58020,NA,NA,NA,NA
General Medical and Surgical Hospitals,Magnetic Resonance Imaging Technologists,20160,71760,15930,65720,NA,NA,NA,NA
General Medical and Surgical Hospitals,Emergency Medical Technicians and Paramedics,36030,39030,29260,36160,NA,NA,NA,NA
General Medical and Surgical Hospitals,Health Practitioner Support Technologists and Technicians,149050,43500,135060,39530,NA,NA,NA,NA
General Medical and Surgical Hospitals,Dietetic Technicians,9750,33480,10060,29580,NA,NA,NA,NA
General Medical and Surgical Hospitals,Pharmacy Technicians,54670,38640,48670,35140,NA,NA,NA,NA
General Medical and Surgical Hospitals,Psychiatric Technicians,9840,35030,8150,33210,NA,NA,NA,NA
General Medical and Surgical Hospitals,Respiratory Therapy Technicians,5920,54420,8270,49410,NA,NA,NA,NA
General Medical and Surgical Hospitals,Surgical Technologists,67080,49070,58830,44270,NA,NA,NA,NA
General Medical and Surgical Hospitals,Veterinary Technologists and Technicians,160,45120,160,39730,NA,NA,NA,NA
General Medical and Surgical Hospitals,Ophthalmic Medical Technicians,1630,48270,900,44650,NA,NA,NA,NA
General Medical and Surgical Hospitals,Licensed Practical and Licensed Vocational Nurses,69350,45450,87940,42550,NA,NA,NA,NA
General Medical and Surgical Hospitals,Medical Records and Health Information Technicians,54890,46640,55170,40260,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Opticians, Dispensing",270,42170,190,43570,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Health Technologists and Technicians,43900,49340,37630,45520,NA,NA,NA,NA
General Medical and Surgical Hospitals,Orthotists and Prosthetists,540,62680,470,60990,NA,NA,NA,NA
General Medical and Surgical Hospitals,Hearing Aid Specialists,190,43180,100,41520,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Health Technologists and Technicians, All Other",43160,49200,37060,45340,NA,NA,NA,NA
General Medical and Surgical Hospitals,Other Healthcare Practitioners and Technical Occupations,16870,61220,21140,55350,NA,NA,NA,NA
General Medical and Surgical Hospitals,Occupational Health and Safety Specialists and Technicians,3510,68960,2870,62420,NA,NA,NA,NA
General Medical and Surgical Hospitals,Occupational Health and Safety Specialists,2790,73430,2240,67010,NA,NA,NA,NA
General Medical and Surgical Hospitals,Occupational Health and Safety Technicians,720,51530,630,46190,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Health Practitioners and Technical Workers,13360,59190,18270,54240,NA,NA,NA,NA
General Medical and Surgical Hospitals,Athletic Trainers,4420,47660,2730,44830,NA,NA,NA,NA
General Medical and Surgical Hospitals,Genetic Counselors,910,81340,570,66510,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Healthcare Practitioners and Technical Workers, All Other",8020,63030,14980,55490,NA,NA,NA,NA
General Medical and Surgical Hospitals,Healthcare Support Occupations,572080,33900,550020,30500,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Nursing, Psychiatric, and Home Health Aides",357230,31420,338830,28170,NA,NA,NA,NA
General Medical and Surgical Hospitals,Home Health Aides,NA,28500,9950,25810,NA,NA,NA,NA
General Medical and Surgical Hospitals,Psychiatric Aides,NA,34860,3690,29990,NA,NA,NA,NA
General Medical and Surgical Hospitals,Nursing Assistants,312160,31560,292160,28400,NA,NA,NA,NA
General Medical and Surgical Hospitals,Orderlies,34600,30260,33030,26650,NA,NA,NA,NA
General Medical and Surgical Hospitals,Occupational Therapy and Physical Therapist Assistants and Aides,27440,48540,24950,43160,NA,NA,NA,NA
General Medical and Surgical Hospitals,Occupational Therapy Assistants and Aides,5390,50030,4940,44710,NA,NA,NA,NA
General Medical and Surgical Hospitals,Occupational Therapy Assistants,4260,54740,3570,49550,NA,NA,NA,NA
General Medical and Surgical Hospitals,Occupational Therapy Aides,1130,32190,1370,32080,NA,NA,NA,NA
General Medical and Surgical Hospitals,Physical Therapist Assistants and Aides,22060,48170,20010,42780,NA,NA,NA,NA
General Medical and Surgical Hospitals,Physical Therapist Assistants,15690,55010,13170,50370,NA,NA,NA,NA
General Medical and Surgical Hospitals,Physical Therapist Aides,6360,31300,6830,28140,NA,NA,NA,NA
General Medical and Surgical Hospitals,Other Healthcare Support Occupations,187410,36490,186240,33050,NA,NA,NA,NA
General Medical and Surgical Hospitals,Massage Therapists,840,53020,720,47150,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Healthcare Support Occupations,186570,36420,185520,32990,NA,NA,NA,NA
General Medical and Surgical Hospitals,Dental Assistants,1740,40900,1420,36360,NA,NA,NA,NA
General Medical and Surgical Hospitals,Medical Assistants,79510,35740,62340,31770,NA,NA,NA,NA
General Medical and Surgical Hospitals,Medical Equipment Preparers,33870,38170,31140,33540,NA,NA,NA,NA
General Medical and Surgical Hospitals,Medical Transcriptionists,9510,40920,20900,37690,NA,NA,NA,NA
General Medical and Surgical Hospitals,Pharmacy Aides,2350,36140,2050,32230,NA,NA,NA,NA
General Medical and Surgical Hospitals,Veterinary Assistants and Laboratory Animal Caretakers,NA,36300,380,35500,NA,NA,NA,NA
General Medical and Surgical Hospitals,Phlebotomists,39450,34790,34580,30810,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Healthcare Support Workers, All Other",NA,36880,32720,33980,NA,NA,NA,NA
General Medical and Surgical Hospitals,Protective Service Occupations,38110,38690,36160,34140,NA,NA,NA,NA
General Medical and Surgical Hospitals,Supervisors of Protective Service Workers,2470,58820,2230,51090,NA,NA,NA,NA
General Medical and Surgical Hospitals,First-Line Supervisors of Law Enforcement Workers,40,80680,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,First-Line Supervisors of Police and Detectives,40,80680,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Miscellaneous First-Line Supervisors, Protective Service Workers",2430,58420,2210,50870,NA,NA,NA,NA
General Medical and Surgical Hospitals,"First-Line Supervisors of Protective Service Workers, All Other",2430,58420,2210,50870,NA,NA,NA,NA
General Medical and Surgical Hospitals,Fire Fighting and Prevention Workers,50,47510,40,49920,NA,NA,NA,NA
General Medical and Surgical Hospitals,Firefighters,40,47060,40,48660,NA,NA,NA,NA
General Medical and Surgical Hospitals,Law Enforcement Workers,1310,60790,800,55710,NA,NA,NA,NA
General Medical and Surgical Hospitals,Police Officers,1300,61080,760,57170,NA,NA,NA,NA
General Medical and Surgical Hospitals,Police and Sheriff's Patrol Officers,1300,61080,760,57170,NA,NA,NA,NA
General Medical and Surgical Hospitals,Other Protective Service Workers,34270,36380,33090,32460,NA,NA,NA,NA
General Medical and Surgical Hospitals,Security Guards and Gaming Surveillance Officers,33790,36420,32490,32500,NA,NA,NA,NA
General Medical and Surgical Hospitals,Security Guards,33790,36420,32490,32500,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Protective Service Workers,470,32990,590,29330,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",220,26270,310,20610,NA,NA,NA,NA
General Medical and Surgical Hospitals,Transportation Security Screeners,NA,41650,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Protective Service Workers, All Other",160,37350,260,40230,NA,NA,NA,NA
General Medical and Surgical Hospitals,Food Preparation and Serving Related Occupations,102030,30600,107420,26400,NA,NA,NA,NA
General Medical and Surgical Hospitals,Supervisors of Food Preparation and Serving Workers,7420,46140,7410,40360,NA,NA,NA,NA
General Medical and Surgical Hospitals,Chefs and Head Cooks,1160,54720,800,49100,NA,NA,NA,NA
General Medical and Surgical Hospitals,First-Line Supervisors of Food Preparation and Serving Workers,6270,44560,6620,39310,NA,NA,NA,NA
General Medical and Surgical Hospitals,Cooks and Food Preparation Workers,37110,31710,45210,26610,NA,NA,NA,NA
General Medical and Surgical Hospitals,Cooks,25290,32340,26100,28270,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Cooks, Fast Food",40,26840,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Cooks, Institution and Cafeteria",24940,32350,25630,28280,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Cooks, Restaurant",60,31640,80,33840,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Cooks, Short Order",230,32700,290,27190,NA,NA,NA,NA
General Medical and Surgical Hospitals,Food Preparation Workers,11820,30360,19110,24350,NA,NA,NA,NA
General Medical and Surgical Hospitals,Food and Beverage Serving Workers,51820,27900,48500,24300,NA,NA,NA,NA
General Medical and Surgical Hospitals,Fast Food and Counter Workers,16780,27110,12730,23460,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Combined Food Preparation and Serving Workers, Including Fast Food",13550,26870,9680,23140,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",3220,28110,3050,24460,NA,NA,NA,NA
General Medical and Surgical Hospitals,Waiters and Waitresses,200,28920,230,22070,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Food Servers, Nonrestaurant",34840,28270,35540,24610,NA,NA,NA,NA
General Medical and Surgical Hospitals,Other Food Preparation and Serving Related Workers,5670,27700,6290,24710,NA,NA,NA,NA
General Medical and Surgical Hospitals,Dining Room and Cafeteria Attendants and Bartender Helpers,1400,27030,1280,23960,NA,NA,NA,NA
General Medical and Surgical Hospitals,Dishwashers,1920,28180,1510,22250,1740,21240,2800,17770
General Medical and Surgical Hospitals,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1500,26910,1480,21810,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Food Preparation and Serving Related Workers,850,29140,2010,29190,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Food Preparation and Serving Related Workers, All Other",850,29140,2010,29190,NA,NA,NA,NA
General Medical and Surgical Hospitals,Building and Grounds Cleaning and Maintenance Occupations,147140,30090,150450,26150,NA,NA,NA,NA
General Medical and Surgical Hospitals,Supervisors of Building and Grounds Cleaning and Maintenance Workers,5760,47530,6960,40210,NA,NA,NA,NA
General Medical and Surgical Hospitals,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,5760,47530,6960,40210,NA,NA,NA,NA
General Medical and Surgical Hospitals,First-Line Supervisors of Housekeeping and Janitorial Workers,5600,47310,6310,40920,NA,NA,NA,NA
General Medical and Surgical Hospitals,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",160,55430,660,33380,NA,NA,NA,NA
General Medical and Surgical Hospitals,Building Cleaning and Pest Control Workers,139470,29300,141390,25390,NA,NA,NA,NA
General Medical and Surgical Hospitals,Building Cleaning Workers,139420,29300,141340,25390,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",54910,29490,45640,25910,NA,NA,NA,NA
General Medical and Surgical Hospitals,Maids and Housekeeping Cleaners,84310,29170,95500,25140,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Building Cleaning Workers, All Other",210,31260,200,28310,NA,NA,NA,NA
General Medical and Surgical Hospitals,Pest Control Workers,NA,38650,50,29740,NA,NA,NA,NA
General Medical and Surgical Hospitals,Grounds Maintenance Workers,1910,35020,2100,30500,NA,NA,NA,NA
General Medical and Surgical Hospitals,Landscaping and Groundskeeping Workers,1870,34910,1930,30260,NA,NA,NA,NA
General Medical and Surgical Hospitals,Personal Care and Service Occupations,20930,33430,21380,27190,NA,NA,NA,NA
General Medical and Surgical Hospitals,Supervisors of Personal Care and Service Workers,660,53550,470,47460,NA,NA,NA,NA
General Medical and Surgical Hospitals,First-Line Supervisors of Personal Service Workers,660,53550,470,47460,NA,NA,NA,NA
General Medical and Surgical Hospitals,Animal Care and Service Workers,80,33840,70,33660,NA,NA,NA,NA
General Medical and Surgical Hospitals,Nonfarm Animal Caretakers,80,33840,60,33260,NA,NA,NA,NA
General Medical and Surgical Hospitals,Entertainment Attendants and Related Workers,240,23840,290,22230,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Entertainment Attendants and Related Workers,220,22980,250,21270,NA,NA,NA,NA
General Medical and Surgical Hospitals,Amusement and Recreation Attendants,170,23270,160,21310,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Locker Room, Coatroom, and Dressing Room Attendants",50,22060,90,21190,NA,NA,NA,NA
General Medical and Surgical Hospitals,Personal Appearance Workers,220,41570,140,37930,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Barbers, Hairdressers, Hairstylists and Cosmetologists",80,36730,70,31500,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Hairdressers, Hairstylists, and Cosmetologists",80,36620,70,31500,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Personal Appearance Workers,140,44240,70,43940,NA,NA,NA,NA
General Medical and Surgical Hospitals,Manicurists and Pedicurists,30,29550,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,Skincare Specialists,110,48330,60,45820,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Baggage Porters, Bellhops, and Concierges",950,35200,500,30360,NA,NA,NA,NA
General Medical and Surgical Hospitals,Baggage Porters and Bellhops,50,24220,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,Concierges,910,35780,500,30360,380,28880,90,23590
General Medical and Surgical Hospitals,Other Personal Care and Service Workers,18730,32660,19800,26600,NA,NA,NA,NA
General Medical and Surgical Hospitals,Childcare Workers,3280,28460,4040,24010,NA,NA,NA,NA
General Medical and Surgical Hospitals,Personal Care Aides,7770,30260,6250,24620,NA,NA,NA,NA
General Medical and Surgical Hospitals,Recreation and Fitness Workers,6560,37770,5400,34010,NA,NA,NA,NA
General Medical and Surgical Hospitals,Fitness Trainers and Aerobics Instructors,4160,41520,3160,37780,NA,NA,NA,NA
General Medical and Surgical Hospitals,Recreation Workers,2400,31270,2240,28700,NA,NA,NA,NA
General Medical and Surgical Hospitals,Residential Advisors,270,31190,140,30560,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Personal Care and Service Workers,850,31830,3970,22110,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Personal Care and Service Workers, All Other",850,31830,3970,22110,NA,NA,NA,NA
General Medical and Surgical Hospitals,Sales and Related Occupations,9640,35670,9680,31450,NA,NA,NA,NA
General Medical and Surgical Hospitals,Supervisors of Sales Workers,950,52820,860,47600,NA,NA,NA,NA
General Medical and Surgical Hospitals,First-Line Supervisors of Sales Workers,950,52820,860,47600,NA,NA,NA,NA
General Medical and Surgical Hospitals,First-Line Supervisors of Retail Sales Workers,910,51650,830,47060,NA,NA,NA,NA
General Medical and Surgical Hospitals,First-Line Supervisors of Non-Retail Sales Workers,40,78090,30,61800,NA,NA,NA,NA
General Medical and Surgical Hospitals,Retail Sales Workers,7360,29460,7680,25990,NA,NA,NA,NA
General Medical and Surgical Hospitals,Cashiers,5940,29580,6620,25850,8960,26400,8580,22230
General Medical and Surgical Hospitals,Retail Salespersons,1410,28920,1030,26830,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Sales Representatives, Services",1050,57480,900,59210,NA,NA,NA,NA
General Medical and Surgical Hospitals,Insurance Sales Agents,310,50230,30,41460,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Miscellaneous Sales Representatives, Services",730,60520,870,59890,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Sales Representatives, Services, All Other",730,60520,870,59890,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",40,80330,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,Other Sales and Related Workers,130,55850,180,42400,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Sales and Related Workers,100,46710,150,43980,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Sales and Related Workers, All Other",100,46710,150,43980,NA,NA,NA,NA
General Medical and Surgical Hospitals,Office and Administrative Support Occupations,569640,39640,597290,35440,NA,NA,NA,NA
General Medical and Surgical Hospitals,Supervisors of Office and Administrative Support Workers,37300,64320,34270,57480,NA,NA,NA,NA
General Medical and Surgical Hospitals,First-Line Supervisors of Office and Administrative Support Workers,37300,64320,34270,57480,NA,NA,NA,NA
General Medical and Surgical Hospitals,Communications Equipment Operators,13950,32330,16170,28790,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Switchboard Operators, Including Answering Service",12730,31860,14350,28330,NA,NA,NA,NA
General Medical and Surgical Hospitals,Telephone Operators,1100,37170,1490,31290,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Communications Equipment Operators,130,37650,330,37800,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Communications Equipment Operators, All Other",130,37650,330,37800,NA,NA,NA,NA
General Medical and Surgical Hospitals,Financial Clerks,59300,40440,75350,36060,NA,NA,NA,NA
General Medical and Surgical Hospitals,Bill and Account Collectors,6610,38840,12100,35480,NA,NA,NA,NA
General Medical and Surgical Hospitals,Billing and Posting Clerks,31640,39540,37990,35050,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Bookkeeping, Accounting, and Auditing Clerks",15420,42270,17510,37730,NA,NA,NA,NA
General Medical and Surgical Hospitals,Payroll and Timekeeping Clerks,2540,46650,3220,40820,NA,NA,NA,NA
General Medical and Surgical Hospitals,Procurement Clerks,2530,38700,3750,36640,NA,NA,NA,NA
General Medical and Surgical Hospitals,Tellers,50,33040,100,29120,130,26120,190,23420
General Medical and Surgical Hospitals,Miscellaneous Financial Clerks,510,40350,680,35130,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Financial Clerks, All Other",510,40350,680,35130,NA,NA,NA,NA
General Medical and Surgical Hospitals,Information and Record Clerks,164710,35650,158040,32260,NA,NA,NA,NA
General Medical and Surgical Hospitals,Brokerage Clerks,40,41960,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,Correspondence Clerks,370,38740,330,33780,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Credit Authorizers, Checkers, and Clerks",450,40660,1010,41510,NA,NA,NA,NA
General Medical and Surgical Hospitals,Customer Service Representatives,52000,36390,34320,33690,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Eligibility Interviewers, Government Programs",710,45140,970,39740,NA,NA,NA,NA
General Medical and Surgical Hospitals,File Clerks,5620,33250,9210,29460,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Hotel, Motel, and Resort Desk Clerks",40,32610,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Interviewers, Except Eligibility and Loan",59960,35960,64510,32490,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Library Assistants, Clerical",150,33950,310,33340,NA,NA,NA,NA
General Medical and Surgical Hospitals,Order Clerks,230,33360,120,33690,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Human Resources Assistants, Except Payroll and Timekeeping",4130,42490,5490,37650,NA,NA,NA,NA
General Medical and Surgical Hospitals,Receptionists and Information Clerks,36100,32810,32170,29470,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Information and Record Clerks,4900,39980,9540,32690,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Information and Record Clerks, All Other",4900,39980,9540,32690,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Material Recording, Scheduling, Dispatching, and Distributing Workers",39940,35690,36180,31960,NA,NA,NA,NA
General Medical and Surgical Hospitals,Couriers and Messengers,4920,30290,4660,28670,NA,NA,NA,NA
General Medical and Surgical Hospitals,Dispatchers,3120,37800,2560,33940,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Police, Fire, and Ambulance Dispatchers",1600,38720,1110,34700,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Dispatchers, Except Police, Fire, and Ambulance",1530,36840,1450,33370,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Production, Planning, and Expediting Clerks",7160,42540,4170,41570,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Shipping, Receiving, and Traffic Clerks",2900,35460,2690,31400,NA,NA,NA,NA
General Medical and Surgical Hospitals,Stock Clerks and Order Fillers,21710,34390,21990,30660,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",130,36030,110,35060,NA,NA,NA,NA
General Medical and Surgical Hospitals,Secretaries and Administrative Assistants,191630,40190,191220,36380,NA,NA,NA,NA
General Medical and Surgical Hospitals,Executive Secretaries and Executive Administrative Assistants,18190,57510,23290,49290,NA,NA,NA,NA
General Medical and Surgical Hospitals,Legal Secretaries,100,52840,110,50190,NA,NA,NA,NA
General Medical and Surgical Hospitals,Medical Secretaries,127610,37560,115060,33480,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",45730,40600,52760,36970,NA,NA,NA,NA
General Medical and Surgical Hospitals,Other Office and Administrative Support Workers,62810,37140,86070,32620,NA,NA,NA,NA
General Medical and Surgical Hospitals,Computer Operators,730,45580,2420,39990,NA,NA,NA,NA
General Medical and Surgical Hospitals,Data Entry and Information Processing Workers,2620,37260,4590,31800,NA,NA,NA,NA
General Medical and Surgical Hospitals,Data Entry Keyers,2170,36270,3690,31010,NA,NA,NA,NA
General Medical and Surgical Hospitals,Word Processors and Typists,450,42040,900,35040,NA,NA,NA,NA
General Medical and Surgical Hospitals,Desktop Publishers,30,52200,70,47840,NA,NA,NA,NA
General Medical and Surgical Hospitals,Insurance Claims and Policy Processing Clerks,2350,38910,1680,37550,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Mail Clerks and Mail Machine Operators, Except Postal Service",1010,33110,1280,30350,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Office Clerks, General",49050,36110,66470,31720,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Office Machine Operators, Except Computer",1040,34040,1370,30580,NA,NA,NA,NA
General Medical and Surgical Hospitals,Proofreaders and Copy Markers,30,47980,80,34340,NA,NA,NA,NA
General Medical and Surgical Hospitals,Statistical Assistants,730,47250,520,40520,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Office and Administrative Support Workers,5220,44560,7570,37650,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Office and Administrative Support Workers, All Other",5220,44560,7570,37650,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Farming, Fishing, and Forestry Occupations",NA,33100,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,Agricultural Workers,NA,33100,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Agricultural Workers,NA,33100,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Farmworkers, Farm, Ranch, and Aquacultural Animals",NA,33260,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,Construction and Extraction Occupations,9450,58260,9050,51620,NA,NA,NA,NA
General Medical and Surgical Hospitals,Supervisors of Construction and Extraction Workers,410,78190,570,68780,NA,NA,NA,NA
General Medical and Surgical Hospitals,First-Line Supervisors of Construction Trades and Extraction Workers,410,78190,570,68780,NA,NA,NA,NA
General Medical and Surgical Hospitals,Construction Trades Workers,8830,57700,8090,51130,NA,NA,NA,NA
General Medical and Surgical Hospitals,Boilermakers,NA,61790,60,59340,380,46810,180,41610
General Medical and Surgical Hospitals,Carpenters,2060,56730,1790,50540,2490,48030,2670,42250
General Medical and Surgical Hospitals,Construction Laborers,100,54710,140,46330,NA,NA,NA,NA
General Medical and Surgical Hospitals,Electricians,2810,62700,2560,55180,3270,52860,3370,43440
General Medical and Surgical Hospitals,Painters and Paperhangers,2010,49500,1960,44100,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Painters, Construction and Maintenance",2010,49500,1940,44010,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",1640,60670,1390,54230,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Plumbers, Pipefitters, and Steamfitters",1640,60670,1380,54220,NA,NA,NA,NA
General Medical and Surgical Hospitals,Plasterers and Stucco Masons,50,61560,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Helpers, Construction Trades",50,41340,50,34410,NA,NA,NA,NA
General Medical and Surgical Hospitals,Other Construction and Related Workers,150,42660,350,37360,NA,NA,NA,NA
General Medical and Surgical Hospitals,Hazardous Materials Removal Workers,110,36970,260,36110,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Construction and Related Workers,40,58760,70,38340,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Installation, Maintenance, and Repair Occupations",39870,51640,41380,46030,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Supervisors of Installation, Maintenance, and Repair Workers",3630,71690,3670,63750,NA,NA,NA,NA
General Medical and Surgical Hospitals,"First-Line Supervisors of Mechanics, Installers, and Repairers",3630,71690,3670,63750,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",620,56520,840,51940,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Computer, Automated Teller, and Office Machine Repairers",70,43860,170,47610,NA,NA,NA,NA
General Medical and Surgical Hospitals,Radio and Telecommunications Equipment Installers and Repairers,330,58270,420,53570,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Telecommunications Equipment Installers and Repairers, Except Line Installers",320,58010,420,53540,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",230,57600,240,52220,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",140,56080,180,52210,NA,NA,NA,NA
General Medical and Surgical Hospitals,Security and Fire Alarm Systems Installers,80,60530,50,53630,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",340,51380,240,46740,NA,NA,NA,NA
General Medical and Surgical Hospitals,Aircraft Mechanics and Service Technicians,50,69480,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,Automotive Technicians and Repairers,240,49110,110,47920,NA,NA,NA,NA
General Medical and Surgical Hospitals,Automotive Service Technicians and Mechanics,240,49110,110,47920,NA,NA,NA,NA
General Medical and Surgical Hospitals,Bus and Truck Mechanics and Diesel Engine Specialists,50,45890,100,39740,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Other Installation, Maintenance, and Repair Occupations",35280,49490,36640,44120,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",3000,58760,2650,52560,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Industrial Machinery Installation, Repair, and Maintenance Workers",340,50920,1110,47470,NA,NA,NA,NA
General Medical and Surgical Hospitals,Industrial Machinery Mechanics,200,51530,350,48070,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Maintenance Workers, Machinery",130,49370,740,47150,NA,NA,NA,NA
General Medical and Surgical Hospitals,Line Installers and Repairers,50,55380,50,48540,NA,NA,NA,NA
General Medical and Surgical Hospitals,Telecommunications Line Installers and Repairers,40,55530,40,50400,NA,NA,NA,NA
General Medical and Surgical Hospitals,Precision Instrument and Equipment Repairers,6080,57850,5380,50530,NA,NA,NA,NA
General Medical and Surgical Hospitals,Camera and Photographic Equipment Repairers,50,49250,80,36200,NA,NA,NA,NA
